"","properties.addl_addr","properties.architect","properties.const_date","properties.geo_addr","properties.name","properties.no_cbd","properties.nom_des","properties.num1_edit","properties.num2_edit","properties.num_orig","properties.objectid","properties.staff","properties.str_orig","properties.street","type","lat","lon","datetime"
"397","","","","1201 Carondelet Street","","New Orleans","Designated",1201,1203,"1201-03",65,"BDB","Carondelet Street","Carondelet Street","Feature",29.9420436369432,-90.0752695799453,NA
"398","","","","1207 Carondelet Street","","New Orleans","Designated",1207,1209,"1207-09",66,"BDB","Carondelet Street","Carondelet Street","Feature",29.9419213423221,-90.0753380877041,NA
"399","","","","1209 Carondelet Street","","New Orleans","Designated",1209,1215,"1209-15",67,"BDB","Carondelet Street","Carondelet Street","Feature",29.9418921119651,-90.0753874995883,NA
"400","","","","1221 Carondelet Street","","New Orleans","Designated",1221,0,"1221",68,"BDB","Carondelet Street","Carondelet Street","Feature",29.9417068445786,-90.0755223289702,NA
"401","","","","1508 Carondelet Street","","New Orleans","Designated",1508,0,"1508",69,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394940244061,-90.0768246232087,NA
"402","","","","1510 Carondelet Street","","New Orleans","Designated",1510,0,"1510",70,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394140293852,-90.0768459795197,NA
"403","","","","1519 Carondelet Street","","New Orleans","Designated",1519,0,"1519",71,"BDB","Carondelet Street","Carondelet Street","Feature",29.9394854198461,-90.0771786143174,NA
"404","","Emile Weil","1924","1616 Carondelet Street","New Home Missionary Baptist Church","New Orleans","Designated",1616,0,"1616",72,"BDB","Carondelet Street","Carondelet Street","Feature",29.9385912193671,-90.0773804242881,1924-01-01T01:01
"405","","Unknown","1867","2003 Carondelet Street","Huntington House","New Orleans","Designated",2003,2005,"2003-05",73,"BDB","Carondelet Street","Carondelet Street","Feature",29.9364075150206,-90.0799616384911,1867-01-01T01:01
"406","","Henry Thiberge","1859","2027 Carondelet Street","Leathers Buck House","New Orleans","Designated",2027,0,"2027",74,"BDB","Carondelet Street","Carondelet Street","Feature",29.9361009307473,-90.0804487038489,1859-01-01T01:01
"407","","Unknown","1850","2120 Carondelet Street","Philips House","New Orleans","Designated",2120,0,"2120",75,"BDB","Carondelet Street","Carondelet Street","Feature",29.9351835070885,-90.0807572573325,1850-01-01T01:01
"408","","","","2207 Carondelet Street","","New Orleans","Designated",2207,2209,"2207-09",76,"BDB","Carondelet Street","Carondelet Street","Feature",29.9348849918537,-90.0817013418685,NA
"409","","Emile Weil","1926","2230 Carondelet Street","Congregation Agudath Achim Anshe Sfard","New Orleans","Designated",2230,0,"2230",77,"BDB","Carondelet Street","Carondelet Street","Feature",29.9343906054093,-90.0819251336396,1926-01-01T01:01
"410","","Frederick Wing","1868","2805 Carondelet Street","Armstrong-Danna House","New Orleans","Designated",2805,0,"2805",78,"BDB","Carondelet Street","Carondelet Street","Feature",29.9318477523085,-90.0869515724377,1868-01-01T01:01
"411","","Edward Gottheil","1868","3627 Carondelet Street","Bullitt-Longenecker House","New Orleans","Designated",3627,0,"3627",79,"BDB","Carondelet Street","Carondelet Street","Feature",29.9287139689613,-90.0949478359466,1868-01-01T01:01
"412","","","1910","962 N Carrollton Avenue","Daussat Residence","New Orleans","Nominated",962,0,"962",80,"BDB","Carrollton Avenue (North)","N Carrollton Avenue","Feature",29.9812789967841,-90.0928774197384,1910-01-01T01:01
"413","","Unknown","1849","1015 S Carrollton Avenue","Wilkinson-Bruno House","New Orleans","Designated",1015,0,"1015",81,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9457995542395,-90.1308020364299,1849-01-01T01:01
"414","","Jones, Roessle & Olschner","1926","1138 S Carrollton Avenue","Marine Bank & Trust, Carrollton Branch","New Orleans","Designated",1138,1140,"1138-40",82,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9473212050802,-90.1300293527188,1926-01-01T01:01
"415","","","1921","1200 S Carrollton Avenue","Whitney Bank","New Orleans","Designated",1200,0,"1200",83,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9475499247949,-90.1297596066129,1921-01-01T01:01
"416","","Thomas Sully","1893","1305 S Carrollton Avenue","Sully Smith House","New Orleans","Designated",1305,0,"1305",84,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9479503647706,-90.128568390099,1893-01-01T01:01
"417","","Thomas Sully","1901","1531 S Carrollton Avenue","Sully-Wormuth-Langfels Residence","New Orleans","Designated",1531,0,"1531",85,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9497266043278,-90.1266620461667,1901-01-01T01:01
"418","","Unknown","1899","1537 S Carrollton Avenue","Weston Ward House","New Orleans","Designated",1537,0,"1537",86,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9498094688557,-90.126547365615,1899-01-01T01:01
"419","","William Thiel","1868-69","938 Lafayette Street","Turner's Hall","CBD","Designated",938,0,"0938",87,"KAF","Lafayette Street","Lafayette Street","Feature",29.9490127163227,-90.0743482699056,1868-01-01T01:01
"420","","","","2632 Lapeyrouse Street","Viavant House","New Orleans","Nominated",2632,0,"2632",88,"KAF","Lapeyrouse Street","Lapeyrouse Street","Feature",29.9796472992289,-90.0762169919217,NA
"421","","Unknown","Unknown","2836 Lasalle Street","Dew Drop Inn","New Orleans","Designated",2836,0,"2836",89,"KAF","Lasalle Street","Lasalle Street","Feature",29.9369209267488,-90.0916719989393,NA
"422","","Unknown","1838","3232 Laurel Street","Cotton-Davenport House","New Orleans","Designated",3232,0,"3232",90,"KAF","Laurel Street","Laurel Street","Feature",29.9217099510829,-90.0862707356727,1838-01-01T01:01
"423","","","","4838 Laurel Street","","New Orleans","Nominated",4838,0,"4838",91,"KAF","Laurel Street","Laurel Street","Feature",29.9181184967186,-90.1068191548011,NA
"424","","Gallier & Esterbrook","1865","1432 Leda Court","Luling Mansion/Jockey Club","New Orleans","Designated",1432,0,"1432",92,"KAF","Leda Court","Leda Court","Feature",29.9826588526994,-90.0863236925843,1865-01-01T01:01
"425","","William Woodward","1898","443 Lowerline Street","Green House","New Orleans","Designated",443,0,"0443",93,"KAF","Lowerline Street","Lowerline Street","Feature",29.9359803105024,-90.1297860287223,1898-01-01T01:01
"426","","Unknown","1869","535 Lowerline Street","Fischer-Martin House","New Orleans","Designated",535,0,"0535",94,"KAF","Lowerline Street","Lowerline Street","Feature",29.9376276205021,-90.1285989990853,1869-01-01T01:01
"427","","","","1173 Magazine Street","","New Orleans","Nominated",1173,0,"1173",95,"KAF","Magazine Street","Magazine Street","Feature",29.9395509171963,-90.0710442716801,NA
"428","","Gallier & Turpin","1853","2319 Magazine Street","Turpin-Buja House","New Orleans","Designated",2319,0,"2319",96,"KAF","Magazine Street","Magazine Street","Feature",29.9288366412026,-90.0782110725108,1853-01-01T01:01
"429","","Unknown","1859","2323 Magazine Street","Forcheimer-Harris House","New Orleans","Designated",2323,0,"2323",97,"KAF","Magazine Street","Magazine Street","Feature",29.92873367853,-90.0783626689935,1859-01-01T01:01
"430","","Howard & Thiberge","1860","2331 Magazine Street","Mayer-de lal Guerroniere Houses","New Orleans","Designated",2331,2333,"2331-33",98,"KAF","Magazine Street","Magazine Street","Feature",29.9286567896488,-90.0784799328464,1860-01-01T01:01
"431","","Thomas Sully","1887-88","3000 Magazine Street","Protestant Orphans' Home","New Orleans","Designated",3000,0,"3000",99,"KAF","Magazine Street","Magazine Street","Feature",29.924711062558,-90.0847442051249,1887-01-01T01:01
"432","","Unknown","1881-83","3607 Magazine Street","Cockerton House","New Orleans","Designated",3607,0,"3607",100,"KAF","Magazine Street","Magazine Street","Feature",29.9222079134944,-90.0919189660472,1881-01-01T01:01
"433","","Thomas Sully","1885-86","4636 Magazine Street","Valence Street Baptist Church","New Orleans","Designated",4636,0,"4636",101,"KAF","Magazine Street","Magazine Street","Feature",29.9204226144955,-90.1047445491297,1885-01-01T01:01
"434","","Unknown","1844-45","7835 Maple Street","Reverand J.B. Warren House","New Orleans","Designated",7835,0,"7835",102,"KAF","Maple Street","Maple Street","Feature",29.9431096355173,-90.1308265860185,1844-01-01T01:01
"435","","Unknown","1903","1934 Marengo Street","Walther-Wahlig House","New Orleans","Designated",1934,0,"1934",103,"KAF","Marengo Street","Marengo Street","Feature",29.9305234748243,-90.0992455641267,1903-01-01T01:01
"436","","Nathanial Curtis","1963","6161 Marquette Place","The Nathanial Curtis Residence","New Orleans","Designated",6161,0,"6161",105,"KAF","Marquette Place","Marquette Place","Feature",29.9333690586466,-90.1183563344413,1963-01-01T01:01
"437","","Unknown","1816","924 Moss Street","Blanc-Erlanger House","New Orelans","Designated",924,0,"0924",106,"KAF","Moss Street","Moss Street","Feature",29.9775004833591,-90.088458705684,1816-01-01T01:01
"438","","Unknown","1784","1300 Moss Street","Spanish Custom House/De Matteo House","New Orleans","Designated",1300,0,"1300",107,"KAF","Moss Street","Moss Street","Feature",29.9801768747512,-90.0867817985502,1784-01-01T01:01
"439","","Unknown","1834","1342 Moss Street","Evaristte Blanc House","New Orleans","Designated",1342,0,"1342",108,"KAF","Moss Street","Moss Street","Feature",29.9809199632218,-90.08709563443,1834-01-01T01:01
"440","","Unknown","1850","1347 Moss Street","Morel-Stytz House","New Orleans","Designated",1347,0,"1347",109,"KAF","Moss Street","Moss Street","Feature",29.9804438855897,-90.0889937567126,1850-01-01T01:01
"441","","Unknown","1799-1800","1440 Moss Street","Pitot House","New Orleans","Designated",1440,0,"1440",110,"KAF","Moss Street","Moss Street","Feature",29.9819290970148,-90.0891396183392,1799-01-01T01:01
"442","","William A. Freret","1875-76","923 Napoleon Avenue","McDonough No. 6 School/St. Georges Episcopal Schoo","New Orleans","Designated",923,0,"0923",111,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9216237903712,-90.1007511920602,1875-01-01T01:01
"443","","Thomas Carter","1871-88","1025 Napoleon Avenue","St. Stephen's Roman Catholic Church","New Orleans","Designated",1025,0,"1025",112,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9225105555481,-90.1012688504668,1871-01-01T01:01
"444","","Thomas Mulligan & Albert Diettel","1865-83","1314 Napoleon Avenue","St. Elizabeth's Children's Home","New Orleans","Designated",1314,0,"1314",113,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9246046433906,-90.1023109526724,1865-01-01T01:01
"445","","E.A. Christy","1917","1501 Napoleon Avenue","Fire Company #34 - Velez House","New Orleans","Designated",1501,0,"1501",114,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9258182893713,-90.1016904303255,1917-01-01T01:01
"446","","Unknown","1922","3915 Napoleon Avenue","Hardie Fattel House","New Orleans","Designated",3915,0,"3915",115,"KAF","Napoleon Avenue","Napoleon Avenue","Feature",29.9486707056684,-90.1039709970481,1922-01-01T01:01
"447","","Albert Diettel","1869-72","1139 O.C. Haley Boulevard","St. John The Baptist Church","New Orleans","Designated",1139,0,"1139",116,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9439213402065,-90.0774278097057,1869-01-01T01:01
"448","","","","1141 O.C. Haley Boulevard","St. John's Church Rectory","New Orleans","Designated",1141,0,"1141",117,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9436296870046,-90.0776073355255,NA
"449","","","","1228 O.C. Haley Boulevard","","New Orleans","Designated",1228,1230,"1228-30",118,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9427643538736,-90.0777772873511,NA
"450","","Unknown","1922-23","2140 S Carrollton Avenue","Nix-Arensman House","New Orleans","Designated",2140,0,"2140",119,"BDB","Carrollton Avenue (South)","S Carrollton Avenue","Feature",29.9543769428082,-90.1225116079143,1922-01-01T01:01
"451","1743 S. Peters","","","401 Celeste Street","","New Orleans","Designated",401,0,"0401",120,"BDB","Celeste Street","Celeste Street","Feature",29.9277734774503,-90.0657642732996,NA
"452","","","","406 Celeste Street","","New Orelans","Designated",406,450,"0406-50",121,"BDB","Celeste Street","Celeste Street","Feature",29.927641193347,-90.0659819490862,NA
"453","","","","601 Celeste Street","","New Orleans","Designated",601,621,"0601-21",122,"BDB","Celeste Street","Celeste Street","Feature",29.9282880677273,-90.0680969857413,NA
"454","","Unknown","1826","3933 Chartres Street","Lombard-Davis House","New Orleans","Designated",3933,0,"3933",123,"BDB","Chartres Street","Chartres Street","Feature",29.9607839296828,-90.0369941007516,1826-01-01T01:01
"455","","Unknown","1862","3531 Chestnut Street","Seward-Ryniker House","New Orleans","Designated",3531,0,"3531",124,"BDB","Chestnut Street","Chestnut Street","Feature",29.924284010389,-90.0922690939289,1862-01-01T01:01
"456","","Frederick Wilkinson","1837","116 City Park Avenue","Cypress Grove Cemetary Entrance Gate","New Orleans","Designated",116,120,"0116-20",125,"BDB","City Park Avenue","City Park Avenue","Feature",29.9815861761561,-90.1116646244299,1837-01-01T01:01
"457","","Unknown","1860","900 City Park Avenue","Saux-Sands Building","New Orleans","Designated",900,0,"0900",126,"BDB","City Park Avenue","City Park Avenue","Feature",29.9834238241377,-90.0980248882656,1860-01-01T01:01
"458","","","1913","1031 N Claiborne Avenue","Clabon Theater","New Orleans","Designated",1031,0,"1031",127,"BDB","Claiborne Avenue (North)","N Claiborne Avenue","Feature",29.9672387997599,-90.070996738016,1913-01-01T01:01
"459","","Weiss, Dreyfous & Seiferth","1935","5521 S Claiborne Avenue","Lone Star Cement Co. - Parlongue House","New Orleans","Designated",5521,0,"5521",128,"BDB","Claiborne Avenue (South)","S Claiborne Avenue","Feature",29.9428056743918,-90.1107936609657,1935-01-01T01:01
"460","3501 Gravier Street","","","733 S Clark Street","former iron foundry","New Orleans","Nominated",733,739,"0733-39",129,"BDB","Clark Street (South)","S Clark Street","Feature",29.9652666287626,-90.1004923157285,NA
"461","136 S. Robertson Street","Unknown","1861-62","1565 Cleveland Avenue","Lafcadio Hearn Residence","CBD","Designated",1565,0,"1565",130,"BDB","Cleveland Avenue","Cleveland Avenue","Feature",29.9575142746884,-90.077516878475,1861-01-01T01:01
"462","","Unknown","1870","4422 Coliseum Street","Martin-Howard House","New Orleans","Designated",4422,0,"4422",131,"BDB","Coliseum Street","Coliseum Street","Feature",29.9233524464556,-90.1025035761725,1870-01-01T01:01
"463","","Unknown","1887","1050 Constance Street","Maginnis Mill","CBD","Designated",1050,0,"1050",132,"BDB","Constance Street","Constance Street","Feature",29.9414142661874,-90.0692489908165,1887-01-01T01:01
"464","","","","4006 Constance Street","","New Orleans","Nominated",4006,4008,"4006-08",133,"BDB","Constance Street","Constance Street","Feature",29.9199669120815,-90.0969989424381,NA
"465","","Unknown","1871","4219 Constance Street","Blessed Pauline Center","New Orleans","Nominated",4219,0,"4219",134,"BDB","Constance Street","Constance Street","Feature",29.9200613469844,-90.0995246368807,1871-01-01T01:01
"466","","Unknown","1852","4868 Constance Street","Ewing-Johnson House","New Orleans","Designated",4868,0,"4868",135,"BDB","Constance Street","Constance Street","Feature",29.9190196017961,-90.1078230426468,1852-01-01T01:01
"467","","","1917","1733 Constantinople Street","Fine Arts Theater","New Orleans","Designated",1733,0,"1733",136,"BDB","Constantinople Street","Constantinople Street","Feature",29.9287525585886,-90.0973637482897,1917-01-01T01:01
"468","","Favrot & Livaudais","1906-29","602 Cortez Street","American Can Company","New Orleans","Designated",602,0,"0602",137,"BDB","Cortez Street","Cortez Street","Feature",29.9764829567128,-90.093866990143,1906-01-01T01:01
"469","1725 Dufossat Street","","","5120 Daneel Street","Auto Paint and Enamel Building","New Orleans","Nominated",5120,5132,"5120-32",138,"BDB","Daneel Street","Daneel Street","Feature",29.9298642743816,-90.1102553453867,NA
"470","","Lewis E. Reynolds","1866","3051 Dauphine Street","St. Vincent DePaul Church","New Orleans","Designated",3051,0,"3051",139,"BDB","Dauphine Street","Dauphine Street","Feature",29.9649311900351,-90.0459230034163,1866-01-01T01:01
"471","3445 Annunciation Street","","","802 Delachaise Street","Mystical's boyhood home","New Orleans","Nominated",802,0,"0802",140,"BDB","Delachaise Street","Delachaise Street","Feature",29.9198631021671,-90.0888374178744,NA
"472","","Unknown","1890-91","1401 Delachaise Street","Grace House/Sommerville House","New Orelans","Designated",1401,0,"1401",141,"BDB","Delachaise Street","Delachaise Street","Feature",29.9253903320897,-90.0912066745993,1890-01-01T01:01
"473","","Unknown","1850","405 Delaronde Street","Seger-Rees-Donner House","New Orleans","Designated",405,407,"0405-07",142,"BDB","Delaronde Street","Delaronde Street","Feature",29.953914347868,-90.0518306752098,1850-01-01T01:01
"474","","","1932","7425 Dominican Street","Leon C. Weiss Residence","New Orleans","Designated",7425,0,"7425",143,"BDB","Dominican Street","Dominican Street","Feature",29.9370735816377,-90.129902167657,1932-01-01T01:01
"475","","","","557 S Dorgenois Street","Falstaff Brewery","New Orleans","Nominated",557,0,"0557",144,"BDB","Dorgenois Street (South)","S Dorgenois Street","Feature",29.9602747862639,-90.0899048126764,NA
"476","","","","659 S Dorgenois Street","Falstaff Brewery","New Orleans","Nominated",659,0,"0659",145,"BDB","Dorgenois Street (South)","S Dorgenois Street","Feature",29.9593550571123,-90.090675729055,NA
"477","","Unknown","1895","2309 Dryades Street","First Street United Methodist Church","New Orleans","Designated",2309,2325,"2309-25",146,"BDB","Dryades Street","Dryades Street","Feature",29.935565212439,-90.0843238433753,1895-01-01T01:01
"478","","","","5027 Dryades Street","Robinson-Lewis House","New Orleans","Nominated",5027,0,"5027",147,"BDB","Dryades Street","Dryades Street","Feature",29.9294702818207,-90.1093139296511,NA
"479","5120-32 Daneel Street","","","1725 Dufossat Street","Auto Paint and Enamel Building","New Orleans","Nominated",1725,1735,"1725-35",148,"BDB","Dufossat Street","Dufossat Street","Feature",29.9298642743816,-90.1102553453867,NA
"480","","","","2013 Dumaine Street","","New Orleans","Nominated",2013,0,"2013",149,"BDB","Dumaine Street","Dumaine Street","Feature",29.9677208114775,-90.0749412687633,NA
"481","8301-11 Fig Street","Unknown","1911-12","8300 Earhart Blvd.","New Orleans Box Supply/Chickels Factory","New Orleans","Designated",8300,0,"8300",150,"BDB","Earhart Blvd.","Earhart Blvd.","Feature",29.9623867737014,-90.1177664951644,1911-01-01T01:01
"482","","Unknown","1905-07","400 Egania Street","Milton P. Doullut House","New Orleans","Designated",400,0,"0400",151,"BDB","Egania Street","Egania Street","Feature",29.9559289249788,-90.0217979596798,1905-01-01T01:01
"483","","Unknown","1912-13","503 Egania Street","Paul Doullut House","New Orleans","Designated",503,0,"0503",152,"BDB","Egania Street","Egania Street","Feature",29.9562833711033,-90.0213909367203,1912-01-01T01:01
"484","","Attributed to James Gallier, Sr.","1845-46","1620 Eighth Street","Judge Joseph Calvitt Clarke House","New Orleans","Designated",1620,0,"1620",153,"BDB","Eighth Street","Eighth Street","Feature",29.9297615673481,-90.0894629593091,1845-01-01T01:01
"485","","","","1500 Elysian Fields Avenue","","New Orleans","Nominated",1500,1502,"1500-02",154,"BDB","Elysian Fields Avenue","Elysian Fields Avenue","Feature",29.9726780247509,-90.0574687402557,NA
"486","","","","1109 Erato Street","","New Orleans","Nominated",1109,1111,"1109-11",155,"BDB","Erato Street","Erato Street","Feature",29.9394632058658,-90.0712777769973,NA
"487","","","1870","1119 Erato Street","St. Theresa's School","New Orleans","Nominated",1119,0,"1119",156,"BDB","Erato Street","Erato Street","Feature",29.9395209730058,-90.0714853071263,1870-01-01T01:01
"488","","Gallier & Esterbrokke","1866","115 Exchange Place","Bank of America-Allison Building","CBD","Designated",115,0,"0115",157,"BDB","Exchange Place","Exchange Place","Feature",29.9533275290045,-90.0684013505239,1866-01-01T01:01
"489","","","","1921 Felicity Street","","New Orleans","Designated",1921,0,"1921",158,"BDB","Felicity Street","Felicity Street","Feature",29.939550307393,-90.0811311617325,NA
"490","","Unknown","1856 & 1861","819 First Street","Irish Channel Christian Fellowship","New Orleans","Designated",819,821,"0819-21",159,"BDB","First Street","First Street","Feature",29.9259985132472,-90.0775846056819,1856-01-01T01:01
"491","","","","2037 First Street","","New Orleans","Designated",2037,0,"2037",160,"BDB","First Street","First Street","Feature",29.9368622706065,-90.08560801059,NA
"492","","Unknown","1871","2309 First Street","Buddy Bolden House","New Orleans","Designated",2309,2311,"2309-11",161,"BDB","First Street","First Street","Feature",29.9388007285105,-90.0870641420565,1871-01-01T01:01
"493","","George Purves, Robertson & Shaw, builders","1849-50","1020 Fourth Street","Bogart-Lee House","New Orleans","Designated",1020,0,"1020",162,"BDB","Fourth Street","Fourth Street","Feature",29.9261770325024,-90.0815029339638,1849-01-01T01:01
"494","","","","6401 Freret Street","Old Tulane Gymnasium","New Orleans","Nominated",6401,0,"",163,"BDB","Freret & McAlister","Freret Street","Feature",29.9389089103675,-90.1208222184637,NA
"495","","Edward Sporl","1919","7929 Freret Street","Salvadore DAntoni House","New Orleans","Designated",7929,0,"7929",164,"BDB","Freret Street","Freret Street","Feature",29.945083667156,-90.1300081580013,1919-01-01T01:01
"496","3523 N. Rampart Street","Unknown","1851","1011 Gallier Street","Academy of the Holy Angels Asylum (1858)","New Orleans","Designated",1011,1013,"1011-13",165,"BDB","Gallier Street","Gallier Street","Feature",29.9662674713729,-90.0395744362403,1851-01-01T01:01
"497","","Diboll and Owen","1925","803 General Pershing Street","St. Henry's Catholic Church","New Orleans","Nominated",803,0,"803",166,"BDB","General Pershing Street","General Pershing Street","Feature",29.9200761367053,-90.09996622947,1925-01-01T01:01
"498","","Unknown","","812 General Pershing Street","St. Henry's Rectory","New Orleans","Nominated",812,0,"812",167,"BDB","General Pershing Street","General Pershing Street","Feature",29.9202052215467,-90.1003456477104,NA
"499","","Diboll, Owen and Goldstein","1908","821 General Pershing Street","St. Henry's School","New Orleans","Nominated",821,0,"821",168,"BDB","General Pershing Street","General Pershing Street","Feature",29.9203776995745,-90.1000508338738,1908-01-01T01:01
"500","","James Gallier","1866","1751 Gentilly Boulevard","Fair Grounds Gate Houses","New Orelans","Designated",1751,0,"1751",169,"BDB","Gentilly Boulevard","Gentilly Boulevard","Feature",29.9835990744665,-90.0770514173832,1866-01-01T01:01
"501","","J.N.B. De Pouilly","1841-42","1210 Govenor Nicholls Street","St. Augustine Roman Catholic Church","New Orleans","Designated",1210,0,"1210",170,"BDB","Govenor Nicholls Street","Govenor Nicholls Street","Feature",29.9654533825269,-90.0662563773913,1841-01-01T01:01
"502","","Unknown","1870","1500 Henry Clay Avenue","Ferguson-Hellmers House","New Orleans","Designated",1500,0,"1500",179,"BDB","Henry Clay Avenue","Henry Clay Avenue","Feature",29.9303464531958,-90.1213591174518,1870-01-01T01:01
"503","","Shepley, Rutan & Coolidge","1888","615 Howard Avenue","Howard Memorial Library","CBD","Designated",615,0,"615",180,"BDB","Howard Avenue","Howard Avenue","Feature",29.9432833737308,-90.0715739170673,1888-01-01T01:01
"504","","Unknown","c.1850's","5520 Hurst Street","William Freret House","New Orleans","Designated",5520,0,"5520",181,"BDB","Hurst Street","Hurst Street","Feature",29.9278046036676,-90.1148200932131,1850-01-01T01:01
"505","","Louis Gauther","1917","2001 Iberville Street","Grace United Methodist Church","New Orleans","Designated",2001,0,"2001",182,"BDB","Iberville Street","Iberville Street","Feature",29.9621286488254,-90.0796466411244,1917-01-01T01:01
"506","","Unknown","1826","631 Independence Street","Blanque-Paturzo-Sessums House","New Orleans","Designated",631,0,"0631",183,"BDB","Independence Street","Independence Street","Feature",29.961764562287,-90.0392627785726,1826-01-01T01:01
"507","","Henry Howard &Albert Diettel","1859-60","1122 Jackson Avenue","Goldsmith-Sheen House","New Orleans","Designated",1122,0,"1122",184,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9299354747158,-90.0772758566704,1859-01-01T01:01
"508","","Henry Howard","1874","1236 Jackson Avenue","Sweet Morris House","New Orleans","Designated",1236,0,"1236",185,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9309361844204,-90.07828678508,1874-01-01T01:01
"509","","Unknown","1869","1305 Jackson Avenue","Tardy House-Trinity Church","New Orleans","Designated",1305,0,"1305",186,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9314633002529,-90.07810389073,1869-01-01T01:01
"510","","George Purves","1853","1329 Jackson Avenue","Trinity Episcopal Church","New Orelans","Designated",1329,1333,"1329-33",187,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9319002834986,-90.0784370512518,1853-01-01T01:01
"511","","Lewis E. Reynolds","1856","1410 Jackson Avenue","Eustis-Buckner House/Soule College","New Orleans","Designated",1410,0,"1410",188,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.931956762595,-90.0790925450528,1856-01-01T01:01
"512","","Lewis E. Reynolds","1850","1411 Jackson Avenue","William Martin Perkins House/Canon Turner Hall","New Orleans","Designated",1411,0,"1411",189,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9322884769636,-90.078641446224,1850-01-01T01:01
"513","","William Fitzner","1883","1435 Jackson Avenue","Thorn-Morgan House","New Orleans","Designated",1435,0,"1435",190,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9326375180541,-90.0790774796426,1883-01-01T01:01
"514","","Gallier & Esterbrook","1860","1529 Jackson Avenue","Warren-Alison House","New Orleans","Designated",1529,1531,"1529-31",191,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9335978771192,-90.0799527340307,1860-01-01T01:01
"515","","Unknown","1866","1740 Jackson Avenue","Shumway-Smallwood House","New Orleans","Designated",1740,0,"1740",192,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9356808910146,-90.0821458519764,1866-01-01T01:01
"516","","","","2115 Jackson Avenue","Sam Morgan House","New Orleans","Designated",2115,0,"2115",193,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9395670224878,-90.0851154199668,NA
"517","","Unknown","1875-78","2133 Jackson Avenue","Edward ""Kid Ory"" House","New Orleans","Designated",2133,2135,"2133-35",194,"KAF","Jackson Avenue","Jackson Avenue","Feature",29.9398429120531,-90.0853611655299,1875-01-01T01:01
"518","","","","3910 Jena Street","","New Orleans","Nominated",3910,0,"3910",195,"KAF","Jena Street","Jena Street","Feature",29.9482589457356,-90.1057604404024,NA
"519","","Unknown","1908","420 Josephine Street","Glidden Company American Paint Works","New Orleans","Designated",420,430,"0420-30",196,"KAF","Josephine Street","Josephine Street","Feature",29.9244282977501,-90.0708993438745,1908-01-01T01:01
"520","","","","1734 Josephine Street","","New Orleans","Designated",1734,0,"1734",197,"KAF","Josephine Street","Josephine Street","Feature",29.9363229904256,-90.0811537377412,NA
"521","","Unknown","1885","201 Julia Street","People's Ice Warehouse/Marine Specialty Supply Co.","CBD","Designated",201,0,"0201",198,"KAF","Julia Street","Julia Street","Feature",29.9445184528723,-90.0649258094992,1885-01-01T01:01
"522","","Unknown","1861","428 Julia Street","Great Western-Marshall Brothers Warehouse","CBD","Designated",428,0,"0428",199,"KAF","Julia Street","Julia Street","Feature",29.9450254655766,-90.0682406977633,1861-01-01T01:01
"523","1433 N Rampart Street","Unknown","1840","1130 Kerlerec Street","Etoile Polaire Lodge #1","New Orleans","Designated",1130,0,"1130",200,"KAF","Kerlerec Street","Kerlerec Street","Feature",29.9670071076247,-90.0635172044195,1840-01-01T01:01
"524","","","","1421 O.C. Haley Boulevard","St. Andrew Grand Lodge, A.F &A.M","New Orleans","Nominated",1421,0,"1421",201,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9415205489346,-90.0791687929005,NA
"525","","","","1515 O.C. Haley Boulevard","Isis Theater","New Orleans","Designated",1515,0,"1515",202,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.940803954702,-90.0796528674546,NA
"526","","","","1529 O.C. Haley Boulevard","Canal Commercial Trust","New Orleans","Designated",1529,0,"1529",203,"KAF","O.C. Haley Boulevard","O.C. Haley Boulevard","Feature",29.9406001962636,-90.0798065304098,NA
